weight,reviews,rating,calc_rank,calc_inven,calc_promo,calc_ship
6.7,755.5,4.7,16.0,3.0,1.0,2.0
7.41,335.0,4.6,17.0,3.0,1.0,2.0
9.22,185.0,4.5,20.0,5.0,1.0,2.0
2.2,137.0,4.6715,18.0,0.0,1.0,7.0
5.94,8.0,4.0,21.0,0.0,0.0,7.0
3.0,18.0,4.8,21.0,0.0,0.0,7.0
5.2,66.0,4.3,21.0,0.0,0.0,7.0
3.0,403.0,4.6,21.0,0.0,0.0,2.0
3.53,6.0,4.8,14.0,12.0,1.0,7.0
0.0,23.0,4.3,16.0,2.0,1.0,7.0
5.2,4.0,4.3,18.0,10.0,1.0,2.0
49.0,7.0,4.7,20.0,12.0,1.0,7.0
4.0,6.0,5.0,21.0,12.0,1.0,2.0
16.9,467.0,4.6,21.0,1.0,0.0,7.0
13.01,7.0,5.0,21.0,0.0,0.0,2.0
8.45,241.0,4.8,21.0,1.0,0.0,2.0
5.78,310.0,4.6,18.0,3.0,1.0,2.0
4.8,306.0,4.3,21.0,0.0,0.0,2.0
2.95,222.0,4.6,19.0,14.0,1.0,2.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
37.0,170.45454545454547,4.8181,1.0,2.0,1.0,2.0
2.56,1122.0,4.720133333333333,3.0,22.75,1.0,2.0
9.2,449.5,4.799766666666667,6.0,14.0,1.0,4.083333333333333
9.617391304347825,192.0,4.839539130434782,13.782608695652174,4.434782608695652,0.4782608695652174,2.0
3.7,90.0,4.7778,4.181818181818182,0.0,1.0,7.0
38.2,130.0,4.7077,7.2727272727272725,1.0,1.0,7.0
9.6,486.25,4.6613,9.833333333333334,8.416666666666666,1.0,2.4166666666666665
7.2,155.0,4.729,10.363636363636363,6.0,0.0,2.0
28.5,161.1818181818182,4.764254545454546,7.909090909090909,0.0,1.0,7.0
7.6,334.90909090909093,4.825181818181818,11.545454545454545,2.909090909090909,0.0,2.0
14.0,213.0,4.6667,14.818181818181818,10.818181818181818,1.0,2.0
9.36,494.5,4.634333333333333,12.916666666666666,4.0,1.0,2.0
14.9,243.0,4.5021,18.0,5.0,1.0,2.0
8.6,155.0,4.7161,18.88888888888889,0.0,1.0,7.0
31.3,76.0,4.4474,17.333333333333332,3.0,0.0,7.0
255.0,95.45454545454545,4.069609090909091,13.636363636363637,3.0,0.0,7.0
3.7,256.27272727272725,4.602009090909092,17.363636363636363,0.0,1.0,7.0
15.65,905.2,4.7375,20.0,6.0,1.0,2.0
3.5,129.0,4.5,21.0,6.916666666666667,0.0,2.0
6.900000000000001,215.0,4.6,21.0,0.0,0.0,7.0
3.79,91.0,4.669538461538462,19.576923076923077,2.3461538461538463,0.038461538461538464,2.3846153846153846
4.6575,666.25,4.604,18.4375,0.0,0.4375,7.0
2.67,278.6666666666667,4.7032,19.583333333333332,9.083333333333334,1.0,2.0
3.7,255.0,4.7,21.0,0.0,1.0,7.0
2.09,40.0,3.905,18.8,0.0,0.0,7.0
,,,,,,
5.8,2191.1666666666665,4.7,21.0,0.0,0.0,2.0
7.34,303.0,4.6,21.0,0.0,0.0,2.0
10.8,430.0,4.7,21.0,2.0,1.0,2.0
2.4,809.4166666666666,4.7,2.0,2.3333333333333335,1.0,2.0
2.1,209.45454545454547,4.6,4.0,0.09090909090909091,1.0,2.0
2.9,351.9166666666667,4.7,7.833333333333333,2.5,1.0,2.0
5.5,71.33333333333333,4.8,6.416666666666667,0.0,0.0,2.0
2.65,155.66666666666666,4.6,12.333333333333334,10.083333333333334,0.0,2.0
2.5,94.0,4.6,16.416666666666668,4.333333333333333,1.0,2.0
3.8846153846153846,383.3076923076923,4.230769230769231,21.0,0.0,0.0,4.6923076923076925
3.6,29.0,4.3,21.0,0.0,0.0,7.0
5.224,9.0,4.6,21.0,0.0,0.0,2.0
4.25,64.5,4.5,21.0,0.0,0.0,2.0
2.9,1178.3333333333333,4.7,21.0,0.0,0.0,2.0
2.5,205.33333333333334,4.7,21.0,0.0,0.0,2.0
2.89,802.0,4.8,21.0,0.0,0.0,7.0
6.75,3135.8333333333335,4.6,21.0,0.0,0.0,2.0
9.4,235.0,4.4,21.0,0.0,0.0,5.0
7.25,254.33333333333334,4.7,21.0,5.833333333333333,1.0,2.0
5.58,710.75,4.7,21.0,0.0,0.0,2.0
8.0,19.4,4.74,21.0,0.0,0.0,2.0
8.6,145.0,4.6,21.0,12.0,0.0,5.636363636363637
4.685,519.75,4.3,1.0,12.0,1.0,2.0
3.968,231.08333333333334,4.425,2.4166666666666665,11.583333333333334,1.0,2.0
3.0,143.0,4.6,4.0,12.0,1.0,2.0
1.8999999999999997,16.0,4.9,6.0,3.6666666666666665,0.3333333333333333,2.8333333333333335
3.4,74.83333333333333,4.7,6.416666666666667,12.0,0.75,2.0
4.8,106.25,4.3,5.833333333333333,12.0,1.0,2.0
4.96,79.66666666666667,3.8333333333333335,5.416666666666667,5.583333333333333,1.0,2.0
9.9,11.0,3.5,11.444444444444445,2.111111111111111,1.0,6.444444444444445
3.4,85.66666666666667,4.583333333333333,12.666666666666666,9.5,0.4166666666666667,5.75
5.29,11.0,4.8,15.083333333333334,12.0,1.0,7.0
5.22,29.0,4.7,11.25,10.75,1.0,7.0
4.25,33.0,4.8,15.583333333333334,10.0,1.0,7.0
43.0,2.0,4.0,15.181818181818182,12.0,1.0,7.0
3.1,1009.0,4.7,21.0,10.0,1.0,7.0
5.75,24.666666666666668,4.7,13.333333333333334,10.0,1.0,2.0
3.5,11.0,4.8,16.0,12.0,1.0,7.0
5.0,20.0,4.7,21.0,12.0,1.0,7.0
,,,,,,
2.2,21.8,4.5,21.0,12.0,0.8,7.0
2.9,745.0,4.8,21.0,12.0,0.0,7.0
2.5,169.33333333333334,4.7,21.0,12.0,1.0,7.0
7.6,1.0,5.0,21.0,12.0,0.8571428571428571,7.0
46.1,191.27272727272728,4.6,21.0,15.818181818181818,0.0,2.0
5.69,1611.7,4.7,19.4,0.8,0.5,4.0
17.51875,273.0625,4.64375,21.0,0.0,0.0,2.0
8.7,683.6666666666666,4.791666666666667,19.416666666666668,16.166666666666668,0.9166666666666666,2.0
9.45,274.0,4.7,21.0,4.666666666666667,0.0,2.0
0.8,88.0,3.9,21.0,5.0,0.0,2.0
